읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김수흥,미래통합당김경안,민생당고상진,민중당전권희,국가혁명배당금당최영수,계,무효투표수,기권수
합계,,118769,75250,59043,5513,7057,1890,636,74139,1111,43519
거소·선상투표,,270,252,176,36,15,3,6,236,16,18
관외사전투표,,7585,7576,5974,611,563,153,106,7407,169,9
국외부재자투표,,222,44,31,10,1,1,0,43,1,178
국외부재자투표(공관),,0,3,3,0,0,0,0,3,0,-3
함열읍,소계,6094,3781,2986,293,291,148,23,3741,40,2313
,관내사전투표,2010,2010,1651,146,130,72,5,2004,6,0
,함열읍제1투,2326,1000,745,81,94,48,10,978,22,1326
,함열읍제2투,1758,771,590,66,67,28,8,759,12,987
오산면,소계,6208,3546,2848,186,367,61,32,3494,52,2662
,관내사전투표,1294,1294,1071,52,127,27,4,1281,13,0
,오산면제1투,1452,626,487,36,68,13,8,612,14,826
,오산면제2투,2561,1184,940,62,133,16,19,1170,14,1377
,오산면제3투,901,442,350,36,39,5,1,431,11,459
황등면,소계,6408,3783,3053,245,289,88,39,3714,69,2625
,관내사전투표,1706,1706,1428,81,115,45,11,1680,26,0
,황등면제1투,1643,655,507,61,55,15,5,643,12,988
,황등면제2투,2380,1065,848,73,92,24,8,1045,20,1315
,황등면제3투,679,357,270,30,27,4,15,346,11,322
함라면,소계,1981,1266,1002,76,89,67,12,1246,20,715
,관내사전투표,619,619,506,27,43,35,3,614,5,0
,함라면투표소,1362,647,496,49,46,32,9,632,15,715
웅포면,소계,1414,957,733,75,61,64,8,941,16,457
,관내사전투표,521,521,413,30,40,26,5,514,7,0
,웅포면투표소,893,436,320,45,21,38,3,427,9,457
성당면,소계,1669,1049,896,70,29,32,8,1035,14,620
,관내사전투표,535,535,461,31,16,20,3,531,4,0
,성당면투표소,1134,514,435,39,13,12,5,504,10,620
용안면,소계,2258,1401,1059,117,62,118,17,1373,28,857
,관내사전투표,732,732,581,44,18,65,10,718,14,0
,용안면투표소,1526,669,478,73,44,53,7,655,14,857
망성면,소계,2639,1511,1078,205,110,62,27,1482,29,1128
,관내사전투표,745,745,558,96,45,25,11,735,10,0
,망성면투표소,1894,766,520,109,65,37,16,747,19,1128
용동면,소계,1406,921,579,71,28,215,8,901,20,485
,관내사전투표,483,483,299,31,19,122,1,472,11,0
,용동면투표소,923,438,280,40,9,93,7,429,9,485
중앙동,소계,3744,2444,1808,252,289,42,26,2417,27,1300
,관내사전투표,1476,1476,1140,114,167,31,13,1465,11,0
,중앙동제1투,1201,504,351,78,57,6,7,499,5,697
,중앙동제2투,1067,464,317,60,65,5,6,453,11,603
평화동,소계,3996,2474,1966,166,246,45,21,2444,30,1522
,관내사전투표,1224,1224,1022,62,101,19,5,1209,15,0
,평화동제1투,1580,701,523,60,92,12,6,693,8,879
,평화동제2투,1192,549,421,44,53,14,10,542,7,643
인화동,소계,5479,2908,2337,225,255,37,20,2874,34,2571
,관내사전투표,1054,1054,897,57,77,9,6,1046,8,0
,인화동제1투,2225,862,663,77,87,14,7,848,14,1363
,인화동제2투,2200,992,777,91,91,14,7,980,12,1208
마동,소계,8330,4906,3903,349,438,102,42,4834,72,3424
,관내사전투표,2521,2521,2043,153,225,57,18,2496,25,0
,마동제1투,1368,464,359,47,32,6,9,453,11,904
,마동제2투,2163,901,702,73,79,18,8,880,21,1262
,마동제3투,2278,1020,799,76,102,21,7,1005,15,1258
남중동,소계,10125,6117,4638,573,674,112,41,6038,79,4008
,관내사전투표,2856,2856,2227,221,307,53,15,2823,33,0
,남중동제1투,1680,648,491,60,64,18,5,638,10,1032
,남중동제2투,1905,952,690,105,117,20,8,940,12,953
,남중동제3투,1790,749,554,73,92,13,6,738,11,1041
,남중동제4투,1894,912,676,114,94,8,7,899,13,982
모현동,소계,29014,18455,14643,1118,2047,325,112,18245,210,10559
,관내사전투표,7605,7604,6283,357,754,118,28,7540,64,1
,모현동제1투,2163,880,679,60,104,17,10,870,10,1283
,모현동제2투,1744,832,589,91,115,18,7,820,12,912
,모현동제3투,1885,801,618,60,85,16,5,784,17,1084
,모현동제4투,1839,928,714,65,109,12,9,909,19,911
,모현동제5투,2520,1246,953,114,133,15,9,1224,22,1274
,모현동제6투,2093,1153,906,68,124,32,10,1140,13,940
,모현동제7투,2495,1120,897,66,119,19,7,1108,12,1375
,모현동제8투,2379,1519,1157,91,213,32,13,1506,13,860
,모현동제9투,1935,1005,754,75,134,18,11,992,13,930
,모현동제10투,2356,1367,1093,71,157,28,3,1352,15,989
송학동,소계,7237,4809,3857,260,543,69,27,4756,53,2428
,관내사전투표,2509,2509,2079,109,256,41,4,2489,20,0
,송학동제1투,1096,452,355,36,52,4,2,449,3,644
,송학동제2투,1334,761,586,55,89,8,7,745,16,573
,송학동제3투,2298,1087,837,60,146,16,14,1073,14,1211
신동,소계,12690,7041,5470,575,659,146,61,6911,130,5649
,관내사전투표,3282,3281,2663,213,250,69,21,3216,65,1
,신동제1투,2489,883,650,111,74,19,12,866,17,1606
,신동제2투,2364,761,552,76,93,22,9,752,9,1603
,신동제3투,2884,1462,1123,115,167,22,14,1441,21,1422
,신동제4투,1671,654,482,60,75,14,5,636,18,1017
잘못 투입·구분된 투표지,,0,6,3,0,1,0,0,4,2,-6
