읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당박수현,미래통합당정진석,민생당전홍기,국가혁명배당금당이홍식,무소속김근태,무소속정연상,계,무효투표수,기권수
합계,,59570,39362,17071,19490,206,239,1535,203,38744,618,20208
거소·선상투표,,245,237,82,110,9,3,20,3,227,10,8
관외사전투표,,3121,3118,1746,1145,27,28,98,20,3064,54,3
국외부재자투표,,90,22,19,3,0,0,0,0,22,0,68
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0,0
부여읍,소계,17213,11221,4844,5730,41,44,394,49,11102,119,5992
,관내사전투표,4591,4592,2382,1981,15,13,140,21,4552,40,-1
,부여읍제1투,1549,674,275,359,5,4,25,2,670,4,875
,부여읍제2투,1177,600,202,368,0,3,21,1,595,5,577
,부여읍제3투,1285,769,251,477,3,4,23,1,759,10,516
,부여읍제4투,1080,593,208,350,2,3,18,2,583,10,487
,부여읍제5투,2274,1313,519,703,5,6,54,12,1299,14,961
,부여읍제6투,1412,774,354,375,1,5,29,4,768,6,638
,부여읍제7투,1332,613,194,376,3,3,26,1,603,10,719
,부여읍제8투,1124,613,193,372,4,2,32,4,607,6,511
,부여읍제9투,1389,680,266,369,3,1,26,1,666,14,709
규암면,소계,8906,5305,2490,2506,28,39,148,21,5232,73,3601
,관내사전투표,1954,1954,1042,820,4,8,50,9,1933,21,0
,규암면제1투,2018,914,356,501,6,5,27,5,900,14,1104
,규암면제2투,2577,1217,598,550,5,16,30,4,1203,14,1360
,규암면제3투,1312,685,294,341,8,3,24,3,673,12,627
,규암면제4투,1045,535,200,294,5,7,17,0,523,12,510
은산면,소계,3465,2213,854,1241,8,9,63,8,2183,30,1252
,관내사전투표,1132,1132,466,612,3,6,29,6,1122,10,0
,은산면제1투,1180,541,199,310,2,3,17,1,532,9,639
,은산면제2투,557,272,99,159,2,0,9,0,269,3,285
,은산면제3투,596,268,90,160,1,0,8,1,260,8,328
외산면,소계,2126,1445,603,754,6,9,38,6,1416,29,681
,관내사전투표,824,824,361,408,2,5,26,5,807,17,0
,외산면투표소,1302,621,242,346,4,4,12,1,609,12,681
내산면,소계,1401,964,382,517,3,2,36,7,947,17,437
,관내사전투표,468,468,184,263,0,0,11,6,464,4,0
,내산면투표소,933,496,198,254,3,2,25,1,483,13,437
구룡면,소계,2201,1373,667,606,12,14,37,6,1342,31,828
,관내사전투표,615,615,356,230,3,3,13,0,605,10,0
,구룡면투표소,1586,758,311,376,9,11,24,6,737,21,828
홍산면,소계,2619,1788,740,903,10,13,77,9,1752,36,831
,관내사전투표,987,987,449,466,9,6,39,0,969,18,0
,홍산면제1투,1156,538,196,295,1,3,30,3,528,10,618
,홍산면제2투,476,263,95,142,0,4,8,6,255,8,213
옥산면,소계,1309,851,356,432,4,1,38,5,836,15,458
,관내사전투표,415,415,182,197,3,0,23,3,408,7,0
,옥산면투표소,894,436,174,235,1,1,15,2,428,8,458
남면,소계,1724,1141,447,613,5,13,30,9,1117,24,583
,관내사전투표,597,597,274,294,1,5,10,6,590,7,0
,남면투표소,1127,544,173,319,4,8,20,3,527,17,583
충화면,소계,1051,711,252,382,2,3,50,11,700,11,340
,관내사전투표,320,320,132,159,1,1,13,8,314,6,0
,충화면투표소,731,391,120,223,1,2,37,3,386,5,340
양화면,소계,1597,1097,399,646,3,6,15,2,1071,26,500
,관내사전투표,479,479,187,275,0,1,6,1,470,9,0
,양화면제1투,443,218,53,155,0,1,4,0,213,5,225
,양화면제2투,675,400,159,216,3,4,5,1,388,12,275
임천면,소계,2606,1661,660,895,9,9,45,14,1632,29,945
,관내사전투표,834,834,356,427,5,1,26,4,819,15,0
,임천면제1투,1064,502,186,281,2,5,13,6,493,9,562
,임천면제2투,708,325,118,187,2,3,6,4,320,5,383
장암면,소계,2496,1532,575,837,12,12,56,10,1502,30,964
,관내사전투표,554,554,234,279,5,3,18,7,546,8,0
,장암면제1투,479,224,75,122,1,4,16,1,219,5,255
,장암면제2투,656,326,121,181,2,2,10,1,317,9,330
,장암면제3투,807,428,145,255,4,3,12,1,420,8,379
세도면,소계,2914,1844,802,854,15,11,107,15,1804,40,1070
,관내사전투표,827,827,377,362,5,8,52,6,810,17,0
,세도면제1투,1002,470,184,244,3,1,22,6,460,10,532
,세도면제2투,1085,547,241,248,7,2,33,3,534,13,538
석성면,소계,2606,1655,715,834,3,11,68,5,1636,19,951
,관내사전투표,677,677,310,318,1,4,34,1,668,9,0
,석성면제1투,1137,541,204,304,0,4,21,2,535,6,596
,석성면제2투,792,437,201,212,2,3,13,2,433,4,355
초촌면,소계,1880,1183,437,482,9,12,215,3,1158,25,697
,관내사전투표,497,497,209,202,4,5,68,1,489,8,0
,초촌면제1투,829,369,151,162,2,4,43,1,363,6,460
,초촌면제2투,554,317,77,118,3,3,104,1,306,11,237
잘못 투입·구분된 투표지,,0,1,1,0,0,0,0,0,1,0,-1
