읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당박수현,미래통합당정진석,민생당전홍기,국가혁명배당금당이홍식,무소속김근태,무소속정연상,계,무효투표수,기권수
합계,,28453,19384,8477,9869,96,130,451,100,19123,261,9069
거소·선상투표,,53,51,17,24,3,1,5,0,50,1,2
관외사전투표,,1778,1778,986,691,11,10,38,15,1751,27,0
국외부재자투표,,49,8,3,5,0,0,0,0,8,0,41
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0,0
청양읍,소계,8231,5501,2417,2826,19,29,130,16,5437,64,2730
,관내사전투표,2803,2803,1376,1292,11,12,72,7,2770,33,0
,청양읍제1투,1206,630,206,401,2,5,9,3,626,4,576
,청양읍제2투,1982,940,422,473,2,8,20,3,928,12,1042
,청양읍제3투,1142,548,195,321,2,2,19,2,541,7,594
,청양읍제4투,1098,580,218,339,2,2,10,1,572,8,518
운곡면,소계,1942,1320,458,799,5,7,29,4,1302,18,622
,관내사전투표,664,664,268,365,1,2,16,2,654,10,0
,운곡면투표소,1278,656,190,434,4,5,13,2,648,8,622
대치면,소계,1956,1298,512,734,6,7,23,8,1290,8,658
,관내사전투표,505,505,238,247,2,2,11,3,503,2,0
,대치면제1투,744,392,124,245,3,3,8,4,387,5,352
,대치면제2투,707,401,150,242,1,2,4,1,400,1,306
정산면,소계,3080,1951,846,978,10,13,65,12,1924,27,1129
,관내사전투표,931,931,427,453,4,3,26,6,919,12,0
,정산면제1투,1179,544,213,290,2,5,26,4,540,4,635
,정산면제2투,970,476,206,235,4,5,13,2,465,11,494
목면,소계,1300,854,395,396,6,11,24,10,842,12,446
,관내사전투표,302,302,166,117,4,3,8,3,301,1,0
,목면제1투,514,261,99,135,1,8,6,5,254,7,253
,목면제2투,484,291,130,144,1,0,10,2,287,4,193
청남면,소계,1708,1098,413,629,5,4,26,4,1081,17,610
,관내사전투표,445,445,184,238,2,2,12,2,440,5,0
,청남면투표소,1263,653,229,391,3,2,14,2,641,12,610
장평면,소계,2059,1332,588,663,8,15,30,11,1315,17,727
,관내사전투표,442,442,218,201,2,6,10,3,440,2,0
,장평면제1투,726,376,163,192,1,6,2,3,367,9,350
,장평면제2투,393,258,93,145,1,3,10,4,256,2,135
,장평면제3투,498,256,114,125,4,0,8,1,252,4,242
남양면,소계,2465,1619,700,838,5,10,37,5,1595,24,846
,관내사전투표,681,681,332,327,2,2,6,3,672,9,0
,남양면제1투,1223,606,242,325,3,5,20,2,597,9,617
,남양면제2투,561,332,126,186,0,3,11,0,326,6,229
화성면,소계,1964,1322,588,662,6,8,25,8,1297,25,642
,관내사전투표,566,566,298,243,1,3,8,5,558,8,0
,화성면제1투,729,401,147,234,1,1,7,1,391,10,328
,화성면제2투,669,355,143,185,4,4,10,2,348,7,314
비봉면,소계,1868,1252,554,624,12,15,19,7,1231,21,616
,관내사전투표,579,579,287,259,3,8,10,1,568,11,0
,비봉면제1투,782,393,170,200,7,4,6,3,390,3,389
,비봉면제2투,507,280,97,165,2,3,3,3,273,7,227
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0
