읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김종민,미래통합당박우석,민생당한민희,국가혁명배당금당명소윤,계,무효투표수,기권수
합계,,45691,28694,13004,14284,482,323,28093,601,16997
거소·선상투표,,73,67,21,36,8,1,66,1,6
관외사전투표,,2377,2375,1353,896,48,29,2326,49,2
국외부재자투표,,91,25,18,7,0,0,25,0,66
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
금산읍,소계,18722,11263,5258,5537,191,128,11114,149,7459
,관내사전투표,4148,4148,2353,1659,57,31,4100,48,0
,금산읍제1투,2036,886,282,560,15,12,869,17,1150
,금산읍제2투,1435,785,301,453,12,8,774,11,650
,금산읍제3투,2608,1086,524,505,26,16,1071,15,1522
,금산읍제4투,1183,674,255,390,12,10,667,7,509
,금산읍제5투,749,396,168,209,6,9,392,4,353
,금산읍제6투,1377,699,272,400,6,6,684,15,678
,금산읍제7투,3496,1701,824,785,48,26,1683,18,1795
,금산읍제8투,1690,888,279,576,9,10,874,14,802
금성면,소계,2867,1681,747,846,29,20,1642,39,1186
,관내사전투표,561,561,294,232,10,8,544,17,0
,금성면제1투,1446,685,277,376,8,7,668,17,761
,금성면제2투,860,435,176,238,11,5,430,5,425
제원면,소계,2554,1533,589,860,31,15,1495,38,1021
,관내사전투표,640,640,268,345,10,6,629,11,0
,제원면제1투,1330,589,220,336,11,7,574,15,741
,제원면제2투,584,304,101,179,10,2,292,12,280
부리면,소계,2168,1306,527,709,24,20,1280,26,862
,관내사전투표,412,412,191,204,4,6,405,7,0
,부리면제1투,1102,547,189,327,14,6,536,11,555
,부리면제2투,654,347,147,178,6,8,339,8,307
군북면,소계,2091,1275,505,699,17,8,1229,46,816
,관내사전투표,320,320,155,147,4,0,306,14,0
,군북면제1투,521,265,100,150,4,2,256,9,256
,군북면제2투,880,457,155,280,7,2,444,13,423
,군북면제3투,370,233,95,122,2,4,223,10,137
남일면,소계,2314,1458,612,775,22,20,1429,29,856
,관내사전투표,541,541,279,239,9,4,531,10,0
,남일면제1투,1248,638,239,368,8,11,626,12,610
,남일면제2투,525,279,94,168,5,5,272,7,246
남이면,소계,1750,1019,477,498,11,10,996,23,731
,관내사전투표,257,257,127,122,0,3,252,5,0
,남이면제1투,955,475,229,222,6,4,461,14,480
,남이면제2투,538,287,121,154,5,3,283,4,251
진산면,소계,2694,1813,750,944,25,17,1736,77,881
,관내사전투표,695,695,327,331,8,6,672,23,0
,진산면제1투,1294,695,252,390,11,5,658,37,599
,진산면제2투,705,423,171,223,6,6,406,17,282
복수면,소계,2705,1686,635,962,31,24,1652,34,1019
,관내사전투표,544,543,240,277,3,8,528,15,1
,복수면제1투,1086,544,185,337,13,3,538,6,542
,복수면제2투,1075,599,210,348,15,13,586,13,476
추부면,소계,5285,3190,1509,1515,45,31,3100,90,2095
,관내사전투표,1252,1250,652,540,16,12,1220,30,2
,추부면제1투,1816,821,394,376,12,11,793,28,995
,추부면제2투,1110,552,239,295,3,4,541,11,558
,추부면제3투,1107,567,224,304,14,4,546,21,540
잘못 투입·구분된 투표지,,0,3,3,0,0,0,3,0,-3
