읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당나소열,미래통합당김태흠,계,무효투표수,기권수
합계,,87911,59870,26533,32453,58986,884,28041
거소·선상투표,,361,318,93,210,303,15,43
관외사전투표,,4204,4202,2436,1677,4113,89,2
국외부재자투표,,142,29,20,8,28,1,113
국외부재자투표(공관),,0,2,2,0,2,0,-2
웅천읍,소계,5683,3865,1414,2392,3806,59,1818
,관내사전투표,1786,1785,750,1010,1760,25,1
,웅천읍제1투,1494,764,240,517,757,7,730
,웅천읍제2투,1146,594,177,401,578,16,552
,웅천읍제3투,1257,722,247,464,711,11,535
주포면,소계,1538,1070,456,601,1057,13,468
,관내사전투표,607,607,296,305,601,6,0
,주포면투표소,931,463,160,296,456,7,468
주교면,소계,4524,2800,1216,1484,2700,100,1724
,관내사전투표,1231,1231,606,552,1158,73,0
,주교면제1투,1888,796,327,457,784,12,1092
,주교면제2투,1405,773,283,475,758,15,632
오천면,소계,4043,2574,869,1662,2531,43,1469
,관내사전투표,709,709,289,414,703,6,0
,오천면제1투,1177,560,192,357,549,11,617
,오천면제2투,192,94,20,71,91,3,98
,오천면제3투,771,478,95,373,468,10,293
,오천면제4투,324,205,80,123,203,2,119
,오천면제5투,144,97,15,79,94,3,47
,오천면제6투,180,114,54,56,110,4,66
,오천면제7투,121,78,28,50,78,0,43
,오천면제8투,132,87,30,55,85,2,45
,오천면제9투,293,152,66,84,150,2,141
천북면,소계,3069,2095,736,1320,2056,39,974
,관내사전투표,871,871,329,523,852,19,0
,천북면제1투,1439,800,264,524,788,12,639
,천북면제2투,759,424,143,273,416,8,335
청소면,소계,2413,1727,592,1090,1682,45,686
,관내사전투표,1058,1058,367,664,1031,27,0
,청소면투표소,1355,669,225,426,651,18,686
청라면,소계,3459,2364,822,1509,2331,33,1095
,관내사전투표,1014,1014,386,616,1002,12,0
,청라면제1투,739,369,116,245,361,8,370
,청라면제2투,834,485,168,312,480,5,349
,청라면제3투,872,496,152,336,488,8,376
남포면,소계,4607,3059,1176,1831,3007,52,1548
,관내사전투표,1431,1431,652,761,1413,18,0
,남포면제1투,1217,605,205,394,599,6,612
,남포면제2투,1142,563,161,390,551,12,579
,남포면제3투,817,460,158,286,444,16,357
주산면,소계,2256,1634,633,970,1603,31,622
,관내사전투표,911,911,384,514,898,13,0
,주산면제1투,907,445,144,293,437,8,462
,주산면제2투,438,278,105,163,268,10,160
미산면,소계,1568,1110,355,734,1089,21,458
,관내사전투표,454,454,155,290,445,9,0
,미산면제1투,326,169,54,112,166,3,157
,미산면제2투,402,244,70,167,237,7,158
,미산면제3투,386,243,76,165,241,2,143
성주면,소계,2249,1559,678,862,1540,19,690
,관내사전투표,768,768,390,375,765,3,0
,성주면제1투,1054,535,191,332,523,12,519
,성주면제2투,427,256,97,155,252,4,171
대천1동,소계,11398,7310,3373,3858,7231,79,4088
,관내사전투표,3018,3018,1551,1441,2992,26,0
,대천1동제1투,1200,571,170,393,563,8,629
,대천1동제2투,1127,550,191,350,541,9,577
,대천1동제3투,1867,962,348,601,949,13,905
,대천1동제4투,1802,990,467,516,983,7,812
,대천1동제5투,2384,1219,646,557,1203,16,1165
대천2동,소계,7103,5200,2259,2890,5149,51,1903
,관내사전투표,3195,3195,1480,1692,3172,23,0
,대천2동제1투,1181,565,221,339,560,5,616
,대천2동제2투,643,330,89,235,324,6,313
,대천2동제3투,2084,1110,469,624,1093,17,974
대천3동,소계,11699,7396,3885,3452,7337,59,4303
,관내사전투표,2695,2695,1554,1121,2675,20,0
,대천3동제1투,1469,670,284,383,667,3,799
,대천3동제2투,2071,1171,616,537,1153,18,900
,대천3동제3투,2101,1003,390,604,994,9,1098
,대천3동제4투,1687,861,416,440,856,5,826
,대천3동제5투,1676,996,625,367,992,4,680
대천4동,소계,11722,7907,4035,3779,7814,93,3815
,관내사전투표,3849,3848,2097,1710,3807,41,1
,대천4동제1투,1473,668,270,380,650,18,805
,대천4동제2투,1413,727,301,418,719,8,686
,대천4동제3투,2301,1182,636,531,1167,15,1119
,대천4동제4투,2686,1482,731,740,1471,11,1204
대천5동,소계,5873,3649,1483,2124,3607,42,2224
,관내사전투표,1421,1420,704,708,1412,8,1
,대천5동제1투,1313,592,223,366,589,3,721
,대천5동제2투,1422,680,254,413,667,13,742
,대천5동제3투,1717,957,302,637,939,18,760
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0
