읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당곽상언,미래통합당박덕흠,국가혁명배당금당김연원,한나라당최덕찬,계,무효투표수,기권수
합계,,35083,23735,9453,13428,261,183,23325,410,11348
거소·선상투표,,106,102,36,48,6,5,95,7,4
관외사전투표,,2527,2524,1345,1071,31,30,2477,47,3
국외부재자투표,,70,25,17,8,0,0,25,0,45
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
괴산읍,소계,8327,5294,2352,2791,48,40,5231,63,3033
,관내사전투표,2590,2590,1319,1197,25,18,2559,31,0
,괴산읍제1투,2605,1307,509,757,10,15,1291,16,1298
,괴산읍제2투,1795,858,329,509,7,4,849,9,937
,괴산읍제3투,1337,539,195,328,6,3,532,7,798
감물면,소계,1776,1185,426,730,5,6,1167,18,591
,관내사전투표,592,592,235,344,2,2,583,9,0
,감물면투표소,1184,593,191,386,3,4,584,9,591
장연면,소계,1628,995,295,670,8,9,982,13,633
,관내사전투표,467,467,161,295,2,5,463,4,0
,장연면투표소,1161,528,134,375,6,4,519,9,633
연풍면,소계,2097,1440,450,930,19,13,1412,28,657
,관내사전투표,677,677,261,397,2,8,668,9,0
,연풍면투표소,1420,763,189,533,17,5,744,19,657
칠성면,소계,2694,1801,712,1030,19,7,1768,33,893
,관내사전투표,975,975,405,548,5,2,960,15,0
,칠성면투표소,1719,826,307,482,14,5,808,18,893
문광면,소계,1981,1323,502,769,17,5,1293,30,658
,관내사전투표,690,690,275,388,11,4,678,12,0
,문광면투표소,1291,633,227,381,6,1,615,18,658
청천면,소계,4350,2894,989,1789,29,28,2835,59,1456
,관내사전투표,1014,1014,391,594,9,9,1003,11,0
,청천면제1투,1321,660,194,439,7,10,650,10,661
,청천면제2투,571,350,106,233,4,1,344,6,221
,청천면제3투,806,532,202,314,6,3,525,7,274
,청천면제4투,638,338,96,209,3,5,313,25,300
청안면,소계,2914,1822,685,1075,19,11,1790,32,1092
,관내사전투표,704,704,297,386,6,2,691,13,0
,청안면제1투,1207,510,183,306,7,7,503,7,697
,청안면제2투,1003,608,205,383,6,2,596,12,395
사리면,소계,2368,1594,571,948,26,15,1560,34,774
,관내사전투표,672,672,252,396,9,4,661,11,0
,사리면제1투,1085,559,210,319,11,6,546,13,526
,사리면제2투,611,363,109,233,6,5,353,10,248
소수면,소계,1777,1126,512,580,13,7,1112,14,651
,관내사전투표,574,574,288,267,9,3,567,7,0
,소수면투표소,1203,552,224,313,4,4,545,7,651
불정면,소계,2468,1608,559,989,21,7,1576,32,860
,관내사전투표,798,798,322,454,7,4,787,11,0
,불정면투표소,1670,810,237,535,14,3,789,21,860
잘못 투입·구분된 투표지,,0,2,2,0,0,0,2,0,-2
