읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당조한기,미래통합당성일종,정의당신현웅,국가혁명배당금당김미숙,계,무효투표수,기권수
합계,,145216,91889,41193,46471,2303,756,90723,1166,53327
거소·선상투표,,465,436,144,217,24,9,394,42,29
관외사전투표,,5968,5965,3042,2491,236,73,5842,123,3
국외부재자투표,,233,42,31,9,1,1,42,0,191
국외부재자투표(공관),,0,6,3,2,0,0,5,1,-6
대산읍,소계,11618,7032,3279,3361,249,56,6945,87,4586
,관내사전투표,2861,2861,1567,1143,101,23,2834,27,0
,대산읍제1투,2384,946,376,501,41,10,928,18,1438
,대산읍제2투,693,383,113,254,4,5,376,7,310
,대산읍제3투,1016,495,180,289,14,4,487,8,521
,대산읍제4투,1436,845,463,319,54,2,838,7,591
,대산읍제5투,2209,965,355,568,22,7,952,13,1244
,대산읍제6투,1019,537,225,287,13,5,530,7,482
인지면,소계,6200,3939,1656,2121,84,33,3894,45,2261
,관내사전투표,1724,1724,861,799,40,14,1714,10,0
,인지면제1투,2770,1294,510,729,28,10,1277,17,1476
,인지면제2투,857,460,141,298,7,6,452,8,397
,인지면제3투,849,461,144,295,9,3,451,10,388
부석면,소계,4885,2957,1095,1745,40,28,2908,49,1928
,관내사전투표,897,897,384,484,17,5,890,7,0
,부석면제1투,1282,657,221,412,8,7,648,9,625
,부석면제2투,1141,564,195,355,4,4,558,6,577
,부석면제3투,709,370,118,238,1,5,362,8,339
,부석면제4투,856,469,177,256,10,7,450,19,387
팔봉면,소계,3114,2042,722,1241,33,12,2008,34,1072
,관내사전투표,777,777,343,398,13,6,760,17,0
,팔봉면제1투,1445,768,234,508,13,5,760,8,677
,팔봉면제2투,813,456,128,315,6,1,450,6,357
,팔봉면제3투,79,41,17,20,1,0,38,3,38
지곡면,소계,6621,3878,1664,2018,105,34,3821,57,2743
