읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당복기왕,미래통합당이명수,국가혁명배당금당박현숙,계,무효투표수,기권수
합계,,125840,77591,37603,38167,826,76596,995,48249
거소·선상투표,,213,209,105,77,7,189,20,4
관외사전투표,,5797,5794,3436,2188,69,5693,101,3
국외부재자투표,,204,46,31,15,0,46,0,158
국외부재자투표(공관),,0,1,1,0,0,1,0,-1
선장면,소계,2915,1873,591,1199,22,1812,61,1042
,관내사전투표,778,776,290,445,7,742,34,2
,선장면제1투,751,323,84,221,8,313,10,428
,선장면제2투,707,403,109,283,3,395,8,304
,선장면제3투,679,371,108,250,4,362,9,308
도고면,소계,4129,2579,859,1621,26,2506,73,1550
,관내사전투표,1026,1022,424,549,8,981,41,4
,도고면제1투,1339,610,192,401,6,599,11,729
,도고면제2투,860,421,136,273,5,414,7,439
,도고면제3투,904,526,107,398,7,512,14,378
신창면,소계,15597,8614,3816,4577,101,8494,120,6983
,관내사전투표,2474,2469,1273,1139,19,2431,38,5
,신창면제1투,1070,467,111,349,4,464,3,603
,신창면제2투,645,349,95,237,3,335,14,296
,신창면제3투,1686,811,209,575,5,789,22,875
,신창면제4투,2440,1065,474,557,19,1050,15,1375
,신창면제5투,2730,1274,567,676,21,1264,10,1456
,신창면제6투,2723,1193,565,602,14,1181,12,1530
,신창면제7투,1829,986,522,442,16,980,6,843
온양1동,소계,8291,5032,2375,2552,56,4983,49,3259
,관내사전투표,2220,2218,1056,1114,24,2194,24,2
,온양1동제1투,1030,453,118,320,8,446,7,577
,온양1동제2투,2212,961,367,576,11,954,7,1251
,온양1동제3투,932,346,113,224,4,341,5,586
,온양1동제4투,1897,1054,721,318,9,1048,6,843
온양2동,소계,7026,4578,1844,2622,53,4519,59,2448
,관내사전투표,2356,2353,1112,1186,20,2318,35,3
,온양2동제1투,1826,875,296,563,9,868,7,951
,온양2동제2투,1511,761,247,491,10,748,13,750
,온양2동제3투,1333,589,189,382,14,585,4,744
온양3동,소계,27168,16669,8434,7936,151,16521,148,10499
,관내사전투표,5076,5075,2856,2142,38,5036,39,1
,온양3동제1투,3578,1917,900,984,9,1893,24,1661
,온양3동제2투,3346,1655,633,975,21,1629,26,1691
,온양3동제3투,2917,1495,727,734,15,1476,19,1422
,온양3동제4투,3050,1615,673,905,21,1599,16,1435
,온양3동제5투,3954,1757,713,1012,19,1744,13,2197
,온양3동제6투,3284,1918,1167,727,15,1909,9,1366
,온양3동제7투,1963,1237,765,457,13,1235,2,726
온양4동,소계,14093,8333,3956,4187,91,8234,99,5760
,관내사전투표,2622,2616,1413,1160,16,2589,27,6
,온양4동제1투,2644,1492,684,757,15,1456,36,1152
,온양4동제2투,3250,1631,737,864,20,1621,10,1619
,온양4동제3투,1432,708,213,478,11,702,6,724
,온양4동제4투,2253,888,411,454,15,880,8,1365
,온양4동제5투,1892,998,498,474,14,986,12,894
온양5동,소계,19125,10963,5463,5271,97,10831,132,8162
,관내사전투표,3145,3140,1820,1273,20,3113,27,5
,온양5동제1투,2652,969,417,528,12,957,12,1683
,온양5동제2투,2750,1395,527,829,12,1368,27,1355
,온양5동제3투,1364,719,240,461,9,710,9,645
,온양5동제4투,3563,1879,807,1020,20,1847,32,1684
,온양5동제5투,1780,622,339,268,7,614,8,1158
,온양5동제6투,3871,2239,1313,892,17,2222,17,1632
온양6동,소계,21282,12896,6689,5921,153,12763,133,8386
,관내사전투표,3079,3078,1918,1098,33,3049,29,1
,온양6동제1투,2369,1071,493,556,11,1060,11,1298
,온양6동제2투,2427,1281,649,605,18,1272,9,1146
,온양6동제3투,1249,695,217,425,25,667,28,554
,온양6동제4투,2715,1311,619,659,17,1295,16,1404
,온양6동제5투,2351,1171,522,636,7,1165,6,1180
,온양6동제6투,4395,2495,1187,1260,25,2472,23,1900
,온양6동제7투,2697,1794,1084,682,17,1783,11,903
잘못 투입·구분된 투표지,,0,4,3,1,0,4,0,-4
