읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당강훈식,미래통합당박경귀,계,무효투표수,기권수
합계,,126172,76889,45338,30584,75922,967,49283
거소·선상투표,,169,163,92,60,152,11,6
관외사전투표,,8103,8099,5041,2888,7929,170,4
국외부재자투표,,292,65,48,17,65,0,227
국외부재자투표(공관),,0,4,1,3,4,0,-4
염치읍,소계,5414,3065,1434,1588,3022,43,2349
,관내사전투표,984,984,525,445,970,14,0
,염치읍제1투,999,479,172,302,474,5,520
,염치읍제2투,1431,651,285,357,642,9,780
,염치읍제3투,2000,951,452,484,936,15,1049
배방읍,소계,51794,30605,19312,10953,30265,340,21189
,관내사전투표,6537,6536,4724,1749,6473,63,1
,배방읍제1투,852,484,203,272,475,9,368
,배방읍제2투,3771,1589,845,721,1566,23,2182
,배방읍제3투,2634,1386,924,455,1379,7,1248
,배방읍제4투,4091,2093,1340,737,2077,16,1998
,배방읍제5투,4349,1888,1146,708,1854,34,2461
,배방읍제6투,2208,1340,888,443,1331,9,868
,배방읍제7투,3368,1584,963,606,1569,15,1784
,배방읍제8투,1322,615,238,370,608,7,707
,배방읍제9투,3602,2188,1402,774,2176,12,1414
,배방읍제10투,995,543,215,326,541,2,452
,배방읍제11투,1402,718,414,290,704,14,684
,배방읍제12투,4652,2553,1676,844,2520,33,2099
,배방읍제13투,3852,2319,1474,819,2293,26,1533
,배방읍제14투,2572,1795,1000,779,1779,16,777
,배방읍제15투,2427,1422,883,514,1397,25,1005
,배방읍제16투,2053,914,577,331,908,6,1139
,배방읍제17투,1107,638,400,215,615,23,469
송악면,소계,3534,2351,1152,1171,2323,28,1183
,관내사전투표,1007,1007,602,396,998,9,0
,송악면제1투,1202,609,243,357,600,9,593
,송악면제2투,791,421,178,237,415,6,370
,송악면제3투,534,314,129,181,310,4,220
탕정면,소계,14971,9708,6450,3173,9623,85,5263
,관내사전투표,3964,3963,2805,1131,3936,27,1
,탕정면제1투,1903,755,326,416,742,13,1148
,탕정면제2투,2171,921,504,406,910,11,1250
,탕정면제3투,1161,342,180,152,332,10,819
,탕정면제4투,3434,2235,1527,692,2219,16,1199
,탕정면제5투,2338,1492,1108,376,1484,8,846
음봉면,소계,14552,8020,4424,3501,7925,95,6532
,관내사전투표,1827,1826,1155,650,1805,21,1
,음봉면제1투,1210,575,193,371,564,11,635
,음봉면제2투,2715,1161,577,567,1144,17,1554
,음봉면제3투,1252,657,219,430,649,8,595
,음봉면제4투,3240,1603,804,782,1586,17,1637
,음봉면제5투,1195,411,233,168,401,10,784
,음봉면제6투,3113,1787,1243,533,1776,11,1326
둔포면,소계,16762,8424,4243,4098,8341,83,8338
,관내사전투표,2699,2699,1594,1081,2675,24,0
,둔포면제1투,1716,633,241,382,623,10,1083
,둔포면제2투,899,480,155,321,476,4,419
,둔포면제3투,1336,672,257,405,662,10,664
,둔포면제4투,3950,1479,754,713,1467,12,2471
,둔포면제5투,2575,1021,453,557,1010,11,1554
,둔포면제6투,3587,1440,789,639,1428,12,2147
영인면,소계,4982,3116,1381,1662,3043,73,1866
,관내사전투표,1152,1152,573,540,1113,39,0
,영인면제1투,1186,519,235,277,512,7,667
,영인면제2투,889,477,189,283,472,5,412
,영인면제3투,1119,610,230,369,599,11,509
,영인면제4투,636,358,154,193,347,11,278
인주면,소계,5599,3268,1759,1470,3229,39,2331
,관내사전투표,1449,1449,850,585,1435,14,0
,인주면제1투,1239,583,304,274,578,5,656
,인주면제2투,1645,616,292,309,601,15,1029
,인주면제3투,1266,620,313,302,615,5,646
잘못 투입·구분된 투표지,,0,1,1,0,1,0,-1
