읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김경욱,미래통합당이종배,민생당최용수,국가혁명배당금당김은숙,계,무효투표수,기권수
합계,,180642,115405,51290,59667,2055,1174,114186,1219,65237
거소·선상투표,,356,343,126,181,11,13,331,12,13
관외사전투표,,6954,6947,3663,2923,139,79,6804,143,7
국외부재자투표,,379,80,60,18,0,2,80,0,299
국외부재자투표(공관),,0,4,3,1,0,0,4,0,-4
주덕읍,소계,4649,2930,1022,1814,32,31,2899,31,1719
,관내사전투표,1372,1372,571,765,11,13,1360,12,0
,주덕읍제1투,1054,510,132,357,8,7,504,6,544
,주덕읍제2투,1219,540,176,345,6,7,534,6,679
,주덕읍제3투,1004,508,143,347,7,4,501,7,496
살미면,소계,1956,1375,486,841,17,13,1357,18,581
,관내사전투표,664,664,262,377,10,4,653,11,0
,살미면투표소,1292,711,224,464,7,9,704,7,581
수안보면,소계,2856,1923,663,1200,21,20,1904,19,933
,관내사전투표,816,816,331,462,9,7,809,7,0
,수안보면제1투,1489,780,210,544,10,9,773,7,709
,수안보면제2투,551,327,122,194,2,4,322,5,224
대소원면,소계,7402,4054,1816,2088,59,49,4012,42,3348
,관내사전투표,1778,1778,915,801,18,24,1758,20,0
,대소원면제1투,3617,1278,560,674,18,15,1267,11,2339
,대소원면제2투,1555,717,268,419,20,7,714,3,838
,대소원면제3투,452,281,73,194,3,3,273,8,171
신니면,소계,2870,1937,673,1176,32,29,1910,27,933
,관내사전투표,881,881,334,510,12,13,869,12,0
,신니면제1투,1097,546,159,357,10,14,540,6,551
,신니면제2투,892,510,180,309,10,2,501,9,382
노은면,소계,2180,1446,532,862,17,14,1425,21,734
,관내사전투표,747,747,310,415,12,3,740,7,0
,노은면투표소,1433,699,222,447,5,11,685,14,734
앙성면,소계,3647,2330,733,1495,42,27,2297,33,1317
,관내사전투표,877,877,342,507,14,3,866,11,0
,앙성면제1투,596,332,91,221,7,6,325,7,264
,앙성면제2투,1633,813,228,544,15,14,801,12,820
,앙성면제3투,541,308,72,223,6,4,305,3,233
