읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당문진석,미래통합당신범철,우리공화당정조희,친박신당조세빈,국가혁명배당금당김재원,계,무효투표수,기권수
합계,,168135,94976,45999,44671,734,671,1141,93216,1760,73159
거소·선상투표,,215,206,89,84,1,3,13,190,16,9
관외사전투표,,9567,9560,5787,3321,58,38,126,9330,230,7
국외부재자투표,,344,79,53,25,0,0,0,78,1,265
국외부재자투표(공관),,0,6,6,0,0,0,0,6,0,-6
목천읍,소계,18691,10091,5268,4410,84,60,113,9935,156,8600
,관내사전투표,2196,2195,1315,828,13,7,18,2181,14,1
,목천읍제1투,2982,1420,595,771,14,6,13,1399,21,1562
,목천읍제2투,1532,762,301,437,4,8,7,757,5,770
,목천읍제3투,842,485,179,285,4,6,5,479,6,357
,목천읍제4투,2405,1160,558,526,12,9,20,1125,35,1245
,목천읍제5투,2971,1528,892,568,17,6,19,1502,26,1443
,목천읍제6투,1362,644,355,255,6,8,8,632,12,718
,목천읍제7투,4401,1897,1073,740,14,10,23,1860,37,2504
북면,소계,3653,1974,783,1047,25,30,29,1914,60,1679
,관내사전투표,632,632,300,295,7,4,8,614,18,0
,북면제1투,1940,810,322,424,7,14,17,784,26,1130
,북면제2투,1081,532,161,328,11,12,4,516,16,549
성남면,소계,3014,1897,709,1077,15,27,22,1850,47,1117
,관내사전투표,717,717,349,345,0,4,8,706,11,0
,성남면제1투,864,485,151,302,2,5,9,469,16,379
,성남면제2투,1433,695,209,430,13,18,5,675,20,738
수신면,소계,2124,1314,517,735,20,18,8,1298,16,810
,관내사전투표,511,511,238,255,7,3,3,506,5,0
,수신면제1투,1112,566,193,349,10,6,4,562,4,546
,수신면제2투,501,237,86,131,3,9,1,230,7,264
병천면,소계,5536,3340,1383,1769,27,51,47,3277,63,2196
,관내사전투표,1390,1390,686,656,5,10,17,1374,16,0
,병천면제1투,2343,1045,386,595,8,13,17,1019,26,1298
,병천면제2투,1142,549,188,324,6,4,9,531,18,593
,병천면제3투,661,356,123,194,8,24,4,353,3,305
동면,소계,1955,1177,337,757,8,16,21,1139,38,778
,관내사전투표,505,505,148,331,2,7,7,495,10,0
,동면투표소,1450,672,189,426,6,9,14,644,28,778
중앙동,소계,5056,2890,1072,1674,14,41,24,2825,65,2166
,관내사전투표,1110,1109,501,569,4,9,8,1091,18,1
,중앙동제1투,2134,949,263,616,6,23,9,917,32,1185
,중앙동제2투,1812,832,308,489,4,9,7,817,15,980
문성동,소계,3562,1963,852,1003,19,18,26,1918,45,1599
,관내사전투표,978,978,465,468,10,6,10,959,19,0
,문성동제1투,1042,340,131,184,4,7,9,335,5,702
,문성동제2투,1542,645,256,351,5,5,7,624,21,897
원성1동,소계,7865,4617,2013,2405,28,34,52,4532,85,3248
,관내사전투표,1752,1752,867,832,11,11,12,1733,19,0
,원성1동제1투,1881,856,358,455,8,7,14,842,14,1025
,원성1동제2투,1099,478,168,281,4,5,6,464,14,621
,원성1동제3투,1481,661,241,379,2,6,10,638,23,820
,원성1동제4투,1652,870,379,458,3,5,10,855,15,782
원성2동,소계,8425,4713,1899,2588,37,39,51,4614,99,3712
,관내사전투표,1752,1752,798,879,9,12,22,1720,32,0
,원성2동제1투,533,270,86,172,5,2,2,267,3,263
,원성2동제2투,2681,1254,442,744,6,13,11,1216,38,1427
,원성2동제3투,1419,551,233,298,4,4,5,544,7,868
,원성2동제4투,2040,886,340,495,13,8,11,867,19,1154
봉명동,소계,14503,7512,3578,3575,70,58,93,7374,138,6991
,관내사전투표,2092,2092,1165,864,18,11,12,2070,22,0
,봉명동제1투,2000,770,319,402,12,5,16,754,16,1230
,봉명동제2투,1828,881,350,481,8,8,12,859,22,947
,봉명동제3투,2277,977,375,552,8,11,7,953,24,1300
,봉명동제4투,1581,623,254,323,3,13,11,604,19,958
,봉명동제5투,2512,1171,542,574,13,8,18,1155,16,1341
,봉명동제6투,2213,998,573,379,8,2,17,979,19,1215
일봉동,소계,17742,10355,5225,4729,88,55,96,10193,162,7387
,관내사전투표,2367,2367,1303,986,16,10,24,2339,28,0
,일봉동제1투,2918,1270,511,683,14,13,18,1239,31,1648
,일봉동제2투,2968,1392,632,678,22,7,19,1358,34,1576
,일봉동제3투,2101,1062,447,557,12,9,15,1040,22,1039
,일봉동제4투,3293,1923,988,875,13,7,14,1897,26,1370
,일봉동제5투,4095,2341,1344,950,11,9,6,2320,21,1754
신안동,소계,29611,17745,8838,8260,120,79,202,17499,246,11866
,관내사전투표,4785,4785,2814,1836,24,17,45,4736,49,0
,신안동제1투,2553,1049,459,532,12,6,17,1026,23,1504
,신안동제2투,3076,1657,875,716,13,5,26,1635,22,1419
,신안동제3투,2369,963,386,529,10,5,9,939,24,1406
,신안동제4투,2461,1413,624,748,12,8,9,1401,12,1048
,신안동제5투,3041,1716,823,826,6,10,23,1688,28,1325
,신안동제6투,3322,1599,761,778,13,11,12,1575,24,1723
,신안동제7투,2790,1565,793,709,8,6,28,1544,21,1225
,신안동제8투,2632,1353,624,683,7,5,11,1330,23,1279
,신안동제9투,2582,1645,679,903,15,6,22,1625,20,937
성정1동,소계,13780,6638,2935,3387,57,52,89,6520,118,7142
,관내사전투표,1751,1751,901,774,14,13,22,1724,27,0
,성정1동제1투,2127,1033,426,553,10,12,14,1015,18,1094
,성정1동제2투,3858,1275,545,662,13,10,17,1247,28,2583
,성정1동제3투,2425,836,378,414,8,6,13,819,17,1589
,성정1동제4투,1878,726,273,420,7,3,16,719,7,1152
,성정1동제5투,1741,1017,412,564,5,8,7,996,21,724
성정2동,소계,22492,8898,4655,3824,63,52,129,8723,175,13594
,관내사전투표,2647,2647,1577,995,8,16,24,2620,27,0
,성정2동제1투,1525,531,271,229,5,3,7,515,16,994
,성정2동제2투,3774,1502,692,725,12,12,21,1462,40,2272
,성정2동제3투,3453,1425,655,700,8,4,25,1392,33,2028
,성정2동제4투,3152,904,418,434,8,5,23,888,16,2248
,성정2동제5투,4836,1259,677,515,12,10,19,1233,26,3577
,성정2동제6투,3105,630,365,226,10,2,10,613,17,2475
잘못 투입·구분된 투표지,,0,1,0,1,0,0,0,1,0,-1
