읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당곽상언,미래통합당박덕흠,국가혁명배당금당김연원,한나라당최덕찬,계,무효투표수,기권수
합계,,43142,29587,12288,16393,228,156,29065,522,13555
거소·선상투표,,91,87,27,52,1,3,83,4,4
관외사전투표,,2547,2546,1286,1166,26,17,2495,51,1
국외부재자투표,,63,16,9,7,0,0,16,0,47
국외부재자투표(공관),,0,6,2,4,0,0,6,0,-6
영동읍,소계,16411,10630,4824,5553,57,45,10479,151,5781
,관내사전투표,4456,4456,2127,2246,12,13,4398,58,0
,영동읍제1투,1861,921,384,510,8,7,909,12,940
,영동읍제2투,1854,1026,431,581,4,0,1016,10,828
,영동읍제3투,1067,602,252,336,3,4,595,7,465
,영동읍제4투,2453,1314,552,725,8,10,1295,19,1139
,영동읍제5투,2472,1055,518,498,11,6,1033,22,1417
,영동읍제6투,2248,1256,560,657,11,5,1233,23,992
용산면,소계,3159,2092,853,1173,23,7,2056,36,1067
,관내사전투표,1255,1255,563,657,12,3,1235,20,0
,용산면투표소,1904,837,290,516,11,4,821,16,1067
황간면,소계,3791,2548,920,1552,25,9,2506,42,1243
,관내사전투표,1123,1123,474,613,10,3,1100,23,0
,황간면제1투,1523,797,266,508,6,4,784,13,726
,황간면제2투,1145,628,180,431,9,2,622,6,517
추풍령면,소계,2047,1371,396,931,9,18,1354,17,676
,관내사전투표,530,530,183,327,6,6,522,8,0
,추풍령면투표소,1517,841,213,604,3,12,832,9,676
매곡면,소계,1709,1158,404,721,5,3,1133,25,551
,관내사전투표,538,538,220,303,2,3,528,10,0
,매곡면투표소,1171,620,184,418,3,0,605,15,551
상촌면,소계,2107,1455,532,876,10,8,1426,29,652
,관내사전투표,803,803,330,447,5,3,785,18,0
,상촌면투표소,1304,652,202,429,5,5,641,11,652
양강면,소계,3148,2236,925,1228,22,14,2189,47,912
,관내사전투표,1356,1356,638,666,13,9,1326,30,0
,양강면투표소,1792,880,287,562,9,5,863,17,912
용화면,소계,853,616,262,329,4,2,597,19,237
,관내사전투표,313,312,157,142,0,2,301,11,1
,용화면투표소,540,304,105,187,4,0,296,8,236
학산면,소계,2573,1731,690,970,21,10,1691,40,842
,관내사전투표,906,906,375,495,11,8,889,17,0
,학산면투표소,1667,825,315,475,10,2,802,23,842
양산면,소계,1726,1182,440,703,9,5,1157,25,544
,관내사전투표,574,574,251,307,5,3,566,8,0
,양산면투표소,1152,608,189,396,4,2,591,17,544
심천면,소계,2917,1913,718,1128,16,15,1877,36,1004
,관내사전투표,966,966,402,541,5,2,950,16,0
,심천면제1투,1550,722,244,442,11,10,707,15,828
,심천면제2투,401,225,72,145,0,3,220,5,176
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0
