읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당임호선,미래통합당경대수,국가혁명배당금당장정이,계,무효투표수,기권수
합계,,82222,48328,22572,24393,745,47710,618,33894
거소·선상투표,,286,264,111,99,26,236,28,22
관외사전투표,,4449,4448,2453,1843,71,4367,81,1
국외부재자투표,,145,38,24,13,1,38,0,107
국외부재자투표(공관),,0,2,1,1,0,2,0,-2
음성읍,소계,14260,8639,3766,4696,105,8567,72,5621
,관내사전투표,3906,3906,1982,1865,30,3877,29,0
,음성읍제1투,2401,1104,437,634,23,1094,10,1297
,음성읍제2투,2084,1093,389,679,16,1084,9,991
,음성읍제3투,2963,1148,469,648,17,1134,14,1815
,음성읍제4투,780,363,106,249,4,359,4,417
,음성읍제5투,2126,1025,383,621,15,1019,6,1101
금왕읍,소계,16650,9199,4371,4604,129,9104,95,7451
,관내사전투표,3702,3702,2029,1605,43,3677,25,0
,금왕읍제1투,4814,1983,871,1055,29,1955,28,2831
,금왕읍제2투,3205,1203,532,640,16,1188,15,2002
,금왕읍제3투,2382,1074,505,536,18,1059,15,1308
,금왕읍제4투,1088,561,215,331,9,555,6,527
,금왕읍제5투,1459,676,219,437,14,670,6,783
소이면,소계,2664,1713,708,951,32,1691,22,951
,관내사전투표,969,969,430,508,18,956,13,0
,소이면투표소,1695,744,278,443,14,735,9,951
원남면,소계,2639,1652,613,984,28,1625,27,987
,관내사전투표,717,717,306,394,10,710,7,0
,원남면제1투,1141,527,178,333,9,520,7,614
,원남면제2투,781,408,129,257,9,395,13,373
맹동면,소계,9724,5068,3003,1934,66,5003,65,4656
,관내사전투표,2139,2139,1308,764,36,2108,31,0
,맹동면제1투,2982,842,371,450,9,830,12,2140
,맹동면제2투,4603,2087,1324,720,21,2065,22,2516
대소면,소계,12501,6463,3177,3099,117,6393,70,6038
,관내사전투표,2439,2439,1409,985,26,2420,19,0
,대소면제1투,1993,904,376,496,20,892,12,1089
,대소면제2투,1081,514,161,330,13,504,10,567
,대소면제3투,4351,1709,817,832,39,1688,21,2642
,대소면제4투,2637,897,414,456,19,889,8,1740
삼성면,소계,6138,3424,1429,1911,43,3383,41,2714
,관내사전투표,1631,1631,750,850,17,1617,14,0
,삼성면제1투,2633,1023,415,578,16,1009,14,1610
,삼성면제2투,1874,770,264,483,10,757,13,1104
생극면,소계,4129,2514,929,1479,46,2454,60,1615
,관내사전투표,1027,1027,422,550,18,990,37,0
,생극면제1투,2084,914,328,557,17,902,12,1170
,생극면제2투,1018,573,179,372,11,562,11,445
감곡면,소계,8637,4904,1987,2779,81,4847,57,3733
,관내사전투표,1935,1935,938,951,28,1917,18,0
,감곡면제1투,3152,1220,510,668,26,1204,16,1932
,감곡면제2투,2279,1049,336,684,17,1037,12,1230
,감곡면제3투,1271,700,203,476,10,689,11,571
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0
