읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당정정순,미래통합당윤갑근,민생당김홍배,정의당김종대,국가혁명배당금당홍경희,계,무효투표수,기권수
합계,,151173,98093,45707,42682,1278,6707,678,97052,1041,53080
거소·선상투표,,307,295,122,118,13,27,3,283,12,12
관외사전투표,,8451,8449,4668,2681,140,699,87,8275,174,2
국외부재자투표,,309,82,66,10,0,6,0,82,0,227
국외부재자투표(공관),,0,5,0,4,0,0,0,4,1,-5
중앙동,소계,5073,3138,1248,1614,30,184,25,3101,37,1935
,관내사전투표,1194,1194,565,524,4,83,5,1181,13,0
,중앙동제1투,1912,929,337,515,8,45,12,917,12,983
,중앙동제2투,1967,1015,346,575,18,56,8,1003,12,952
성안동,소계,6964,4472,1836,2246,43,251,30,4406,66,2492
,관내사전투표,1911,1911,998,733,16,127,10,1884,27,0
,성안동제1투,2799,1372,487,756,21,81,10,1355,17,1427
,성안동제2투,2254,1189,351,757,6,43,10,1167,22,1065
탑·대성동,소계,7320,4424,1665,2318,48,316,21,4368,56,2896
,관내사전투표,1720,1720,761,823,9,105,8,1706,14,0
,탑·대성동제1투,2227,1048,321,617,11,76,5,1030,18,1179
,탑·대성동제2투,1549,908,308,500,15,72,3,898,10,641
,탑·대성동제3투,1824,748,275,378,13,63,5,734,14,1076
용담·명암·산성동,소계,10338,6859,3538,2620,78,529,43,6808,51,3479
,관내사전투표,2811,2811,1668,888,24,207,7,2794,17,0
,용담·명암·산성동제1투,2064,936,356,470,18,53,25,922,14,1128
,용담·명암·산성동제2투,2319,1262,544,581,17,101,5,1248,14,1057
,용담·명암·산성동제3투,3144,1850,970,681,19,168,6,1844,6,1294
금천동,소계,24089,15272,7281,6524,161,1094,90,15150,122,8817
,관내사전투표,4335,4335,2332,1634,25,299,24,4314,21,0
,금천동제1투,1729,874,259,539,9,40,11,858,16,855
,금천동제2투,2048,1040,406,534,21,62,5,1028,12,1008
