읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이장섭,미래통합당최현호,민생당이창록,국가혁명배당금당김민수,계,무효투표수,기권수
합계,,169388,109940,54118,50784,2575,1063,108540,1400,59448
거소·선상투표,,431,410,207,141,27,20,395,15,21
관외사전투표,,10899,10893,6321,3832,324,161,10638,255,6
국외부재자투표,,378,82,51,29,2,0,82,0,296
국외부재자투표(공관),,0,2,2,0,0,0,2,0,-2
남이면,소계,8309,5260,2285,2757,114,50,5206,54,3049
,관내사전투표,1420,1420,701,679,18,10,1408,12,0
,남이면제1투,2187,1009,314,644,23,19,1000,9,1178
,남이면제2투,992,509,173,295,23,8,499,10,483
,남이면제3투,1441,815,264,524,12,5,805,10,626
,남이면제4투,2269,1507,833,615,38,8,1494,13,762
현도면,소계,2921,1791,635,1075,29,29,1768,23,1130
,관내사전투표,695,695,274,390,12,7,683,12,0
,현도면제1투,1368,704,243,436,10,9,698,6,664
,현도면제2투,858,392,118,249,7,13,387,5,466
사직제1동,소계,6996,4313,1663,2445,67,60,4235,78,2683
,관내사전투표,1397,1396,601,741,17,18,1377,19,1
,사직제1동제1투,1576,681,240,405,10,12,667,14,895
,사직제1동제2투,1701,821,324,445,14,15,798,23,880
,사직제1동제3투,2322,1415,498,854,26,15,1393,22,907
사직제2동,소계,10659,7111,3085,3761,135,60,7041,70,3548
,관내사전투표,1864,1864,960,843,28,15,1846,18,0
,사직제2동제1투,1306,680,234,414,17,9,674,6,626
,사직제2동제2투,1639,803,307,459,19,11,796,7,836
,사직제2동제3투,3068,2009,749,1181,40,15,1985,24,1059
,사직제2동제4투,2782,1755,835,864,31,10,1740,15,1027
사창동,소계,14617,8890,4132,4354,213,85,8784,106,5727
,관내사전투표,4210,4209,2269,1799,80,27,4175,34,1
,사창동제1투,2912,1134,468,589,40,21,1118,16,1778
,사창동제2투,2874,1369,562,746,34,10,1352,17,1505
,사창동제3투,2955,1429,524,820,37,18,1399,30,1526
,사창동제4투,1666,749,309,400,22,9,740,9,917
모충동,소계,12479,7019,2938,3795,142,62,6937,82,5460
,관내사전투표,2095,2095,1050,978,38,11,2077,18,0
,모충동제1투,2971,1351,514,789,17,14,1334,17,1620
,모충동제2투,1674,727,251,430,20,11,712,15,947
,모충동제3투,3235,1635,704,861,42,12,1619,16,1600
,모충동제4투,2504,1211,419,737,25,14,1195,16,1293
산남동,소계,19339,12472,6680,5319,278,84,12361,111,6867
,관내사전투표,3892,3892,2423,1362,63,18,3866,26,0
,산남동제1투,2710,1326,591,667,33,18,1309,17,1384
,산남동제2투,2796,1688,650,951,53,19,1673,15,1108
,산남동제3투,3575,1943,1099,778,45,9,1931,12,1632
,산남동제4투,3289,1771,824,868,44,12,1748,23,1518
,산남동제5투,3077,1852,1093,693,40,8,1834,18,1225
분평동,소계,24449,16002,8542,6760,415,118,15835,167,8447
,관내사전투표,5775,5775,3408,2172,115,33,5728,47,0
,분평동제1투,848,489,173,300,7,3,483,6,359
,분평동제2투,3143,1682,870,741,42,13,1666,16,1461
,분평동제3투,3007,1556,811,668,45,15,1539,17,1451
,분평동제4투,2890,1537,786,683,41,12,1522,15,1353
,분평동제5투,2806,1569,722,766,50,12,1550,19,1237
,분평동제6투,2728,1574,778,709,54,10,1551,23,1154
,분평동제7투,3252,1820,994,721,61,20,1796,24,1432
수곡제1동,소계,12089,7237,3212,3695,168,66,7141,96,4852
,관내사전투표,2517,2517,1325,1102,45,17,2489,28,0
,수곡제1동제1투,2468,1223,527,640,29,5,1201,22,1245
,수곡제1동제2투,2467,1216,532,616,29,16,1193,23,1251
,수곡제1동제3투,2395,1166,413,683,38,17,1151,15,1229
,수곡제1동제4투,2242,1115,415,654,27,11,1107,8,1127
수곡제2동,소계,12033,7568,3359,3853,170,78,7460,108,4465
,관내사전투표,3204,3204,1578,1508,54,29,3169,35,0
,수곡제2동제1투,2341,1044,456,523,39,7,1025,19,1297
,수곡제2동제2투,2381,1226,494,689,16,14,1213,13,1155
,수곡제2동제3투,2135,1087,454,581,19,14,1068,19,1048
,수곡제2동제4투,1972,1007,377,552,42,14,985,22,965
성화·개신·죽림동,소계,33789,20884,11003,8966,491,189,20649,235,12905
,관내사전투표,5804,5804,3549,2088,86,33,5756,48,0
,성화·개신·죽림동제1투,3874,1964,1022,849,50,22,1943,21,1910
,성화·개신·죽림동제2투,2513,1476,634,786,20,20,1460,16,1037
,성화·개신·죽림동제3투,2883,1545,605,849,47,19,1520,25,1338
,성화·개신·죽림동제4투,3497,2178,1144,941,53,20,2158,20,1319
,성화·개신·죽림동제5투,3087,1599,776,726,47,20,1569,30,1488
,성화·개신·죽림동제6투,1993,1148,596,507,24,7,1134,14,845
,성화·개신·죽림동제7투,2517,1125,549,514,36,14,1113,12,1392
,성화·개신·죽림동제8투,2786,1458,722,668,45,11,1446,12,1328
,성화·개신·죽림동제9투,2482,1035,536,434,34,14,1018,17,1447
,성화·개신·죽림동제10투,2353,1552,870,604,49,9,1532,20,801
잘못 투입·구분된 투표지,,0,6,3,2,0,1,6,0,-6
