읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당변재일,미래통합당김수민,민중당이명주,국가혁명배당금당허원,계,무효투표수,기권수
합계,,158171,97694,51028,42776,1565,921,96290,1404,60477
거소·선상투표,,313,300,155,117,8,7,287,13,13
관외사전투표,,9131,9112,5626,3036,156,112,8930,182,19
국외부재자투표,,290,87,63,22,2,0,87,0,203
국외부재자투표(공관),,0,4,4,0,0,0,4,0,-4
내수읍,소계,15693,8929,4218,4318,174,90,8800,129,6764
,관내사전투표,2957,2957,1595,1243,59,26,2923,34,0
,내수읍제1투,1755,790,377,381,14,8,780,10,965
,내수읍제2투,1247,629,249,351,11,8,619,10,618
,내수읍제3투,849,463,155,287,12,1,455,8,386
,내수읍제4투,2657,1261,656,546,23,18,1243,18,1396
,내수읍제5투,1836,901,370,492,14,9,885,16,935
,내수읍제6투,3144,1348,617,667,29,14,1327,21,1796
,내수읍제7투,1248,580,199,351,12,6,568,12,668
오창읍,소계,48863,28927,16695,11352,408,206,28661,266,19936
,관내사전투표,5498,5498,3503,1871,49,30,5453,45,0
,오창읍제1투,2077,955,343,565,23,13,944,11,1122
,오창읍제2투,2036,964,392,538,11,7,948,16,1072
,오창읍제3투,842,446,115,319,5,2,441,5,396
,오창읍제4투,2864,1730,868,802,42,5,1717,13,1134
,오창읍제5투,2318,1575,856,674,25,8,1563,12,743
,오창읍제6투,2461,1626,942,636,23,11,1612,14,835
,오창읍제7투,2814,1838,1170,613,37,8,1828,10,976
,오창읍제8투,2539,1581,988,552,15,15,1570,11,958
,오창읍제9투,2699,1775,1066,655,28,8,1757,18,924
,오창읍제10투,2747,1119,561,508,23,15,1107,12,1628
,오창읍제11투,2736,1037,531,452,17,16,1016,21,1699
,오창읍제12투,3408,1209,635,506,25,23,1189,20,2199
,오창읍제13투,2666,1305,805,463,14,10,1292,13,1361
,오창읍제14투,2285,1241,800,404,22,7,1233,8,1044
,오창읍제15투,2702,1361,839,477,23,10,1349,12,1341
,오창읍제16투,2175,1496,906,566,12,5,1489,7,679
,오창읍제17투,3996,2171,1375,751,14,13,2153,18,1825
북이면,소계,4253,2632,871,1636,62,19,2588,44,1621
,관내사전투표,757,757,344,380,11,7,742,15,0
,북이면제1투,888,461,132,312,6,4,454,7,427
,북이면제2투,747,420,94,308,8,2,412,8,327
,북이면제3투,902,481,148,310,16,4,478,3,421
,북이면제4투,959,513,153,326,21,2,502,11,446
우암동,소계,10860,6059,2475,3274,93,65,5907,152,4801
,관내사전투표,2168,2164,989,1077,35,21,2122,42,4
,우암동제1투,1963,795,303,451,14,11,779,16,1168
,우암동제2투,1961,943,373,533,15,7,928,15,1018
,우암동제3투,2104,914,319,551,13,10,893,21,1190
,우암동제4투,2664,1243,491,662,16,16,1185,58,1421
내덕제1동,소계,8526,5299,2226,2816,83,58,5183,116,3227
,관내사전투표,2363,2363,1131,1127,27,23,2308,55,0
,내덕제1동제1투,2081,848,331,471,18,10,830,18,1233
,내덕제1동제2투,2017,1018,366,578,28,14,986,32,999
,내덕제1동제3투,2065,1070,398,640,10,11,1059,11,995
내덕제2동,소계,9841,5945,2748,2932,90,70,5840,105,3896
,관내사전투표,2329,2327,1182,1028,37,21,2268,59,2
,내덕제2동제1투,2131,951,383,530,13,11,937,14,1180
,내덕제2동제2투,2338,1100,446,593,22,24,1085,15,1238
,내덕제2동제3투,3043,1567,737,781,18,14,1550,17,1476
율량·사천동,소계,37671,22627,11765,9991,350,213,22319,308,15044
,관내사전투표,5182,5180,3127,1896,66,22,5111,69,2
,율량·사천동제1투,2601,1381,654,659,33,16,1362,19,1220
,율량·사천동제2투,2861,1281,597,629,20,10,1256,25,1580
,율량·사천동제3투,3134,1630,758,796,33,17,1604,26,1504
,율량·사천동제4투,1827,1113,467,602,10,12,1091,22,714
,율량·사천동제5투,3108,1500,726,703,27,21,1477,23,1608
,율량·사천동제6투,3664,1985,1069,850,28,16,1963,22,1679
,율량·사천동제7투,2836,1607,746,806,19,16,1587,20,1229
,율량·사천동제8투,1880,1018,414,567,13,15,1009,9,862
,율량·사천동제9투,2143,1269,700,536,17,8,1261,8,874
,율량·사천동제10투,1986,983,561,380,11,11,963,20,1003
,율량·사천동제11투,2330,1395,732,612,20,16,1380,15,935
,율량·사천동제12투,1979,1155,630,463,29,13,1135,20,824
,율량·사천동제13투,2140,1130,584,492,24,20,1120,10,1010
오근장동,소계,12730,7761,4172,3281,138,81,7672,89,4969
,관내사전투표,1671,1671,986,630,21,14,1651,20,0
,오근장동제1투,2009,898,312,538,19,13,882,16,1111
,오근장동제2투,3202,2029,1170,792,34,15,2011,18,1173
,오근장동제3투,3360,1581,807,689,39,22,1557,24,1779
,오근장동제4투,2488,1582,897,632,25,17,1571,11,906
잘못 투입·구분된 투표지,,0,12,10,1,1,0,12,0,-12
